BAC Date,C Date,GS Date,JPM Date,MS Date,WFC Date,BAC,BAC Adj Close,BAC Close,BAC High,BAC Low,BAC Open,BAC Volume,Bank Ticker Stock Info,C,C Adj Close,C Close,C High,C Low,C Open,C Volume,Correlation 1-2,Correlation 1-3,Correlation 1-4,Correlation 1-5,Correlation 1-6,Correlation 2-3,Correlation 2-4,Correlation 2-5,Correlation 2-6,Correlation 3-4,Correlation 3-5,Correlation 3-6,Correlation 4-5,Correlation 4-6,Correlation 5-6,GS,GS Adj Close,GS Close,GS High,GS Low,GS Open,GS Volume,JPM,JPM Adj Close,JPM Close,JPM High,JPM Low,JPM Open,JPM Volume,MS,MS Adj Close,MS Close,MS High,MS Low,MS Open,MS Volume,WFC,WFC Adj Close,WFC Close,WFC High,WFC Low,WFC Open,WFC Volume
18-01-2006,18-01-2006,18-01-2006,18-01-2006,18-01-2006,18-01-2006,10867214.62,33.4659729,45.25999832,45.65000153,44.91999817,45.3199997,10867000,10,1217308.051,372.3505249,483.6000061,486.7000122,481.1000061,484.2999878,1215000,,,,,,,,,,,,,,,,4303336.269,109.1493988,132.3699951,132.6799927,131.0099945,131.0599976,4302700,17813283.68,26.6269722,39.27999878,39.70999908,38.95000076,39.11000061,17813100,2903271.075,37.12511063,58.45000076,58.90000153,58.04999924,58.54999924,2903000,10780946.91,20.65851784,31.79999924,31.84499931,31.29999924,31.30500031,10780800
19-01-2006,19-01-2006,19-01-2006,19-01-2006,19-01-2006,19-01-2006,14584215.13,33.37726212,45.13999939,45.88000107,44.84999847,45.88000107,14584000,11,1698796.917,369.1167297,479.3999939,485.7999878,477,485.6000061,1696500,,,,,,,,,,,,,,,,5011344.415,110.3450012,133.8200073,134.8200073,132.7100067,132.7200012,5010700,12091983.15,26.47784424,39.06000137,39.47000122,38.79999924,39.34000015,12091800,3813274.487,37.69675827,59.34999847,59.97999954,58.70999908,58.75,3813000,8713546.537,20.33694649,31.30500031,31.8199997,31.27000046,31.80500031,8713400
20-01-2006,20-01-2006,20-01-2006,20-01-2006,20-01-2006,20-01-2006,24951011.18,32.67480469,44.18999863,45.15000153,44.16999817,45,24950800,12,4779811.093,351.7926941,456.8999939,474,456.2999878,472.1000061,4777600,,,,,,,,,,,,,,,,5680538.185,108.5853653,131.4400024,134.0599976,131.25,132.8500061,5679900,20902579.35,25.79319191,38.04999924,38.8199997,37.88000107,38.81000137,20902400,5446170.854,36.74401093,57.84999847,59.54999924,57.40999985,59.29999924,5445900,18166144.1,19.97639275,30.75,31.30999947,30.75,31.30999947,18166000
23-01-2006,23-01-2006,23-01-2006,23-01-2006,23-01-2006,23-01-2006,23459707.84,32.50474548,43.95999908,44.38999939,43.49000168,43.5,23459500,13,2026594.979,354.1794739,460,463.7999878,457,460,2024400,,,,,,,,,,,,,,,,3848540.097,109.766777,132.8699951,134.1799927,131.6399994,131.6399994,3847900,13172479.02,25.94232178,38.27000046,38.70000076,37.97000122,38.13999939,13172300,3767269.714,37.14416885,58.47999954,58.68999863,57.70000076,57.70000076,3767000,7047543.292,20.01213074,30.80500031,30.96999931,30.75,30.75499916,7047400
24-01-2006,24-01-2006,24-01-2006,24-01-2006,24-01-2006,24-01-2006,13500509.75,32.71177673,44.24000168,44.68000031,44.04000092,44.08000183,13500300,14,2085900.756,354.2564392,460.1000061,463.6000061,459.8999939,462.8999939,2083700,,,,,,,,,,,,,,,,3758641.934,109.8741455,133,134.0899963,132.3399963,132.6300049,3758000,9781678.834,25.83386231,38.11000061,38.52999878,38.09000015,38.27000046,9781500,3813872.858,37.27754593,58.68999863,59.45000076,58.61999893,58.8199997,3813600,8232143.261,20.00563431,30.79500008,30.97500038,30.65999985,30.82500076,8232000
25-01-2006,25-01-2006,25-01-2006,25-01-2006,25-01-2006,25-01-2006,15132210.58,33.00014496,44.63000107,44.65000153,44.15000153,44.15000153,15132000,15,1594103.45,355.9503784,462.2999878,463.7000122,460.1000061,461.3999939,1591900,,,,,,,,,,,,,,,,3741144.047,110.3367767,133.5599976,134.0399933,132.4600067,133.6499939,3740500,14248879.46,26.08468628,38.47999954,38.68000031,38.06000137,38.15999985,14248700,4011973.722,37.58241653,59.16999817,59.41999817,58.54999924,59,4011700,8580943.769,20.1388092,31,31.06500053,30.72999954,30.83499908,8580800
26-01-2006,26-01-2006,26-01-2006,26-01-2006,26-01-2006,26-01-2006,18449312.93,33.19979477,44.90000153,45.15999985,44.66999817,45,18449100,16,1990737.556,361.9560547,470.1000061,475.5,464.5,465.5,1988500,,,,,,,,,,,,,,,,4808855.289,113.5090408,137.3999939,138.3600006,133.0099945,133.0099945,4808200,16188083.66,26.83712578,39.59000015,39.81000137,38.70999908,38.70999908,16187900,5790678.541,38.09054947,59.97000122,60.5,59.49000168,60.49000168,5790400,8598145.534,20.32395554,31.28499985,31.5,31.18499947,31.23999977,8598000
27-01-2006,27-01-2006,27-01-2006,27-01-2006,27-01-2006,27-01-2006,12251012.55,33.12585449,44.79999924,45.11000061,44.61000061,44.90000153,12250800,17,1414939.378,360.8780823,468.7000122,473.7000122,466,470.1000061,1412700,,,,,,,,,,,,,,,,3688568.501,114.781311,138.9400024,139.75,137.1000061,137.9299927,3687900,12929585.16,26.94557381,39.75,40.04000092,39.16999817,39.25,12929400,3700380.175,38.60502625,60.77999878,61,59.79000092,60,3700100,7640145.636,20.36617851,31.35000038,31.60000038,31.03499985,31.28499985,7640000
30-01-2006,30-01-2006,30-01-2006,30-01-2006,30-01-2006,30-01-2006,14812311.72,32.88924027,44.47999954,45.34999847,44.25,44.75,14812100,18,1059833.893,360.4931335,468.2000122,469.8999939,466.6000061,468.7000122,1057600,,,,,,,,,,,,,,,,3169274.32,115.5495911,139.8699951,140.6399994,138.7100067,139.5500031,3168600,8701885.773,27.01337242,39.84999847,39.97000122,39.41999817,39.52000046,8701700,4246883.145,38.53517532,60.66999817,61.84999847,60.63999939,61.45000076,4246600,5756545.391,20.2914753,31.23500061,31.36499977,31.14999962,31.35000038,5756400
31-01-2006,31-01-2006,31-01-2006,31-01-2006,31-01-2006,31-01-2006,19151210.43,32.70439529,44.22999954,44.72999954,44.11999893,44.65000153,19151000,19,1889228.745,358.6453247,465.7999878,470.5,465.5,468.2999878,1887000,,,,,,,,,,,,,,,,4906877.98,116.6896591,141.25,141.8600006,138.4499969,139.7299957,4906200,15582286.66,26.94557381,39.75,40.18999863,39.74000168,40.02999878,15582100,5178683.381,39.03059006,61.45000076,61.90999985,60.49000168,60.5,5178400,11763544.96,20.25574875,31.18000031,31.29500008,31.10499954,31.125,11763400
